[2025-11-26 23:57:41] [WARNING ] [ShellScript  ] : LIMPEZA COMPLETA REALIZADA
[2025-11-26 23:58:48] [INFO    ] [ScenarioGeneratorAPI] : Extraindo topologia exata do SUMO...
[2025-11-26 23:58:52] [INFO    ] [ScenarioGeneratorAPI] : Configurando dispositivos...
[2025-11-26 23:58:52] [INFO    ] [ScenarioGeneratorAPI] : Configurando dispositivos...
[2025-11-26 23:58:54] [INFO    ] [ScenarioGeneratorAPI] : Gerando pool de rotas...
[2025-11-26 23:58:54] [INFO    ] [ScenarioGeneratorAPI] : Gerando pool de rotas...
[2025-11-26 23:59:24] [INFO    ] [ScenarioGeneratorAPI] : Exportando dados...
[2025-11-26 23:59:24] [INFO    ] [ScenarioGeneratorAPI] : Exportando dados...
=== DB SYNC INICIADO ===
Conectando ao Supabase...
Lendo 80 dispositivos do manifesto...
Tentando inserir 80 registros...
SUCESSO! Dados sincronizados.
[2025-11-26 23:59:30] [INFO    ] [ScenarioGeneratorAPI] : === GERAÇÃO CONCLUÍDA ===
[2025-11-26 23:59:30] [INFO    ] [ScenarioGeneratorAPI] : === GERAÇÃO CONCLUÍDA ===
[2025-11-26 23:59:30] [DEBUG    ] [ShellScript  ] : FIM: SUCESSO
----------------------------------------------------------------
[2025-11-27 00:39:58] [DEBUG    ] [ShellScript  ] : INICIO: Simulando API (Static)...
[2025-11-27 00:39:58] [DEBUG    ] [ShellScript  ] : CMD: python3 -m main --scenario api --mode STATIC --target-tl-id ''
[2025-11-27 00:40:08] [DEBUG   ] [httpcore.connection] : connect_tcp.started host='rumhqljidmwkctjojqdw.supabase.co' port=443 local_address=None timeout=120 socket_options=None
[2025-11-27 00:40:08] [DEBUG   ] [httpcore.connection] : connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7677473b08b0>
[2025-11-27 00:40:08] [DEBUG   ] [httpcore.connection] : start_tls.started ssl_context=<ssl.SSLContext object at 0x767747394cc0> server_hostname='rumhqljidmwkctjojqdw.supabase.co' timeout=120
[2025-11-27 00:40:08] [DEBUG   ] [httpcore.connection] : start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7677473b0880>
[2025-11-27 00:40:08] [DEBUG   ] [httpcore.http2] : send_connection_init.started request=<Request [b'GET']>
[2025-11-27 00:40:08] [DEBUG   ] [httpcore.http2] : send_connection_init.complete
[2025-11-27 00:40:08] [DEBUG   ] [httpcore.http2] : send_request_headers.started request=<Request [b'GET']> stream_id=1
[2025-11-27 00:40:08] [DEBUG   ] [hpack.hpack] : Adding (b':method', b'GET') to the header table, sensitive:False, huffman:True
[2025-11-27 00:40:08] [DEBUG   ] [hpack.hpack] : Encoding 2 with 7 bits
[2025-11-27 00:40:08] [DEBUG   ] [hpack.hpack] : Adding (b':authority', b'rumhqljidmwkctjojqdw.supabase.co') to the header table, sensitive:False, huffman:True
[2025-11-27 00:40:08] [DEBUG   ] [hpack.hpack] : Encoding 1 with 6 bits
[2025-11-27 00:40:08] [DEBUG   ] [hpack.hpack] : Encoding 24 with 7 bits
[2025-11-27 00:40:08] [DEBUG   ] [hpack.hpack] : Adding (b':scheme', b'https') to the header table, sensitive:False, huffman:True
[2025-11-27 00:40:08] [DEBUG   ] [hpack.hpack] : Encoding 7 with 7 bits
[2025-11-27 00:40:08] [DEBUG   ] [hpack.hpack] : Adding (b':path', b'/rest/v1/dispositivos?select=mac_address%2Cstatus%2Ctipo') to the header table, sensitive:False, huffman:True
[2025-11-27 00:40:08] [DEBUG   ] [hpack.hpack] : Encoding 4 with 6 bits
[2025-11-27 00:40:08] [DEBUG   ] [hpack.hpack] : Encoding 39 with 7 bits
